question,answer,tags
"Why does a refusal threshold have a trade-off, and who decides where to set it?","Tighter means false refusals on answerable questions; looser means confident wrong answers. The costs aren't symmetric, and which hurts more depends on the use case — so the client decides, and you make sure they're asked.",fde day04
"Recall@5 is 0.78. What is the maximum possible end-to-end accuracy, and why?","0.78. In the other 22% the information is absent from the prompt, and nothing downstream of retrieval recovers it.",fde day04
Why do XML-ish tags beat markdown fences for delimiting context? Two reasons.,"Your corpus *is* markdown, so fences collide with content. And tags carry attributes, putting `doc_id` and heading path in-band so the model can cite by ID.",fde day04
"What is lost-in-the-middle, and is the mechanism understood?","Accuracy is highest when relevant content sits at the start or end of a long context and lowest in the middle — a U-shape (Liu et al., 2023). The mechanism isn't settled; recency from causal attention and primacy from attention sinks are the leading explanations. Measure yours.",fde day04
Give the reordering for k=5 with descending scores c1..c5.,"c1, c3, c5, c4, c2.",fde day04
"Name the three costs of raising k. Which is largest, and which is the weakest argument?","Tokens (linear, small), latency (linear, small), dilution (non-linear, large). Dilution is largest; cost is the weakest argument and you'll lose the room making it.",fde day04
"Bronze, Silver, Gold — define each and say what each proves.",Bronze: an appended source label — proves nothing. Silver: an inline `[doc_id]` checked against the retrieved set — proves the doc was available. Gold: a substring-checked verbatim quote — proves the span exists in that chunk.,fde day04
A Gold citation verifies. Name two things that can still be wrong.,"The quote may not support the claim, and the answer may state a number appearing in no verified quote. Also, normalisation differences cause false negatives — a low verification rate can be a bug in your checker.",fde day04
A model gives a wrong detention figure. Give the order of checks you run.,"Clause 1 (did it refuse when it should?), then 2 (paste the chunk in — does it fix?), then 3 (reorder / reduce k), then 4 (do the quotes verify?). Cheapest diagnostic first.",fde day04
Name the four rungs of the ladder and give one example metric from each.,Unit/invariant (evidence-quote substring check); retrieval metrics (Recall@k); LLM-as-judge (faithfulness); human expert (is this actually right).,fde day05
Why build rung 1 first when clients ask for rung 3?,"It's free, deterministic, runs in CI, and catches the most embarrassing failures. Rung 3 costs money, needs its own calibration, and can't tell you the JSON was malformed.",fde day05
"What are the four difficulty labels, and what does each one exist to expose?",lookup (inflates your aggregate); synthesis (multi-chunk — where you fail); condition (the detention case); absent (the only way to measure refusal).,fde day05
Why do synthetic golden questions inflate recall? What's the fix?,"The question inherits the source chunk's vocabulary, so retrieval succeeds by lexical overlap rather than semantic match — the opposite of real user queries. Fix: hand review, rewrite in user language, record the rejection rate.",fde day05
Recall@5 and MRR both look good. Which failure can they both be hiding?,A multi-document question whose second required document was never retrieved. MRR sees only the first hit; Recall@k at a generous k gets carried by the easy half. Segment and check Recall@3.,fde day05
"Write the DCG formula. What does the log discount represent, and why normalise?",DCG@k = Σ relᵢ/log₂(i+1). The discount models attention decaying with rank; normalising by the ideal ordering makes queries with different numbers of relevant docs comparable.,fde day05
Your aggregate Recall@5 is 0.78. Give two distinct reasons that number could mislead a client.,"It's a weighted average over buckets that behave differently, so it moves with the *mix*; and at n = 60 its 95% interval is about ±10 points. Either alone invalidates the claim.",fde day05
Name the four judge biases and one concrete fix for each.,"Self-preference → different model family. Position bias → both orders, averaged. Verbosity → regress score against token count and report it. Rubric drift → binary/3-point anchored scales plus a required evidence quote.",fde day05
Why decompose an answer into atomic claims before judging?,A paragraph verdict is mush you can't act on. Per-claim gives a faithfulness rate and names the invented claim.,fde day05
Write Cohen's κ. What is p_e?,κ = (p_o − p_e)/(1 − p_e). p_e is the agreement expected if both raters labelled independently at their own base rates — Σ over classes of P(you say c) × P(judge says c).,fde day05
Raw agreement is 0.80. Why is that not evidence the judge is good?,A judge that always answers the majority class scores the same 0.80 on an 80/20 set with κ = 0. Raw agreement mostly measures prevalence.,fde day05
"At n = 60 and p ≈ 0.78, what is the standard error? What's the practical rule that follows?","√(0.78 × 0.22 / 60) ≈ 0.053 — one SE is 5.3 points, a 95% interval roughly ±10. Rule: at n = 60, anything under ~10 points is ""go read the discordant cases,"" not a result.",fde day05
"Give the debugging order for a wrong RAG answer, cheapest diagnostic first.","Did it refuse when it should (clause 1)? → paste the correct chunk in (clause 2) → reorder or reduce k (clause 3) → do the quotes verify (clause 4)? → then chunking, then embeddings.",fde day06
Name the three audiences in a client demo and the beat that serves each.,Ops user → the happy path in their vocabulary. Engineering lead → the transparency panel. Budget holder → the numbers.,fde day06
"Which two demo beats are load-bearing, and why does each work?","The refusal, because a visible boundary converts ""confident text generator"" into ""system with a known limit."" And the named limitation, because naming a weakness before they find it makes everything else you claim believable.",fde day06
Why does opening with the technology fail?,"It makes the demo about your project rather than their problem, and the ops people disengage before you reach anything they'd care about.",fde day06
Name the four things that break demos and the mitigation for each.,"Dead air → stream and plan the narration. Cold start → pre-warm and run a throwaway query. Non-determinism → temperature 0, fixed k, recorded fallback. Derailing question → answer what you know, say what you don't, write it down on screen.",fde day06
"Name the six parts of a lesson, in order.","Hook, frame, live build, deliberate failure, fix-and-measure, close.",fde day06
"What does the hook do mechanically, and does it need correct answers?","It creates an open question so later material lands on a retrieval cue rather than arriving cold. It works even when the guesses are wrong — the commitment matters, not its correctness.",fde day06
"What's a frame for, and what's the rule about referencing it?",A filing system: new facts attach to a clause instead of accumulating separately. Reference it out loud at least three times or it's just a slide.,fde day06
Roughly how many lines of code can you type live in 8 minutes? What follows for `rag.py`?,"About 20, at 2–3 lines/minute while narrating. Pre-stage 180 of `rag.py`'s 200 and type only the load-bearing part — assembly and verification.",fde day06
"How many new ideas fit in a 20-minute lesson, and where does the constraint come from?","About four. 20 minutes ≈ 2,500 spoken words; hook/frame/close take ~850; a properly explained idea with an example is ~400.",fde day06
"What's the fatal error in each of demo, lesson, and workshop?",Demo: no refusal beat. Lesson: no measured fix — you asserted the improvement instead of showing the number move. Workshop: no time for anyone's code to break and be fixed.,fde day06
"Why is self-grading a recording subject to the same problem as an LLM judge, and what are the two mitigations?","Judge and generator are the same person, so self-preference is severe. Mitigate with written anchors describing a 3 versus a 5 on each dimension, and at least one objective count (filler words per minute) that can't be argued with.",fde day06
"What does the model actually produce when it ""calls a tool""? Who executes it?","Structured text — name, arguments, ID — parsed by the provider and returned to you. Your code executes it; the model has no runtime.",fde day07
Write the five-step loop from memory.,Send messages + schemas → receive text or tool_call → your code validates and executes → append tool_result keyed by ID → repeat.,fde day07
"What is `arguments` in the OpenAI format, and how does it differ from Anthropic and Bedrock?","A JSON **string** on OpenAI (`""""` for no-args); an already-parsed **object** on Anthropic (`input`) and Bedrock (`input`).",fde day07
Name two portability landmines beyond string-vs-object.,"Tool-result role (`""tool""` vs a `user` message); ID field name (`tool_call_id` / `tool_use_id` / `toolUseId`); streaming argument fragments needing concatenation. Any two.",fde day07
"What does ReAct stand for, and why do you rarely hand-write it now? When would you?","Reason → Act → Observe. Models are post-trained on the loop and the provider parses the structure, so you don't scrape text. Hand-write it for a model with no native tool support.",fde day07
Name the four termination limits and what each catches that the others don't.,"`max_steps` (repetition/unanswerable), cumulative `max_tokens` (one enormous observation), `max_cost_usd` (spend in the client's unit), `max_seconds` (hung tool, degraded provider).",fde day07
Why is `max_steps` alone insufficient? Give the growth order and the coefficient driving it.,"Each step re-sends the whole transcript: `n·B + o·n(n−1)/2`, **quadratic in n**, coefficient `o` — set by your tools, not your loop.",fde day07
"Should a budget check happen before or after the call, and why?","Before, on the projected input size. A post-hoc check tells you you're over after you've paid.",fde day07
"What should `ToolRegistry.execute` do on a `ValidationError`, and what do you get for free?","Return `ToolResult(ok=False, content=str(exc))`, don't raise. You get self-correction: the model reads the error as its observation and repairs the arguments next step.",fde day07
Name the three error classes and the observation each should return.,"User-correctable → the validation detail. Retryable-transient → ""temporary, retry or proceed without it."" Fatal → the path is closed, so it reports honestly instead of looping.",fde day07
Why is a tool description higher-leverage per token than the system prompt?,It's in context every step and is the only evidence for the routing decision made every step.,fde day07
"State the rule for when an agent is justified, with one freight example each side of it.","**Use an agent when the sequence genuinely depends on intermediate results.** Agent: ""which carrier has the worst FTA on DAL→CHI, and what's their detention exposure?"" Pipeline: ""extract the accessorial rates from these ten documents and summarise.""",fde day07
Name the three shapes of multi-hop failure and the pattern each one calls for.,"A: two neighbourhoods, one query vector → decomposition or multi-query. B: unstated bridging entity → *sequential* decomposition. C: question isn't document-shaped → rewriting / HyDE.",fde day08
Why does a single query vector do badly on a two-document question? Answer in Day 3's terms.,"The embedding is a single point. A question spanning two topics lands between two clusters and near neither; `k` slots get spent mostly in one. Topical proximity, not propositional match.",fde day08
"Three routing implementations, ascending cost. Which do most teams reach for first, and which should they try first?",Embedding similarity to route descriptions (~free) → small-model classifier (1 cheap call) → tool-choosing agent (1+ full calls). Most reach for the agent; try the embedding router first and measure the gap.,fde day08
How do you evaluate a router? Why isn't recall@5 the right metric?,"As a classification problem — confusion matrix, per-class precision and recall. Recall@5 measures the retriever downstream of the router, not the routing decision.",fde day08
"Why does HyDE work? What is thrown away, and what failure mode remains?","A hypothetical answer is document-shaped, so its vector sits in document-space rather than question-space. The generated text is discarded; only the vector is used, so wrong numbers are harmless. It fails when the hypothesis is in the wrong domain.",fde day08
What is step-back prompting for?,Retrieving general framing context for questions that presuppose a rule the retriever wouldn't otherwise surface.,fde day08
Write the RRF formula. Why ranks and not scores?,`RRF(d) = Σᵢ 1/(k + rankᵢ(d))`. Ranks because scores are uncalibrated and incomparable across retrievers and queries; summing them lets the widest numeric range win.,fde day08
"What does k=60 do, and what happens to a document ranked 3rd in three lists versus 1st in one?",It damps the top-rank advantage — 1/61 vs 1/63 is a 3% difference. Third in three lists (0.0476) beats first in one (0.0164): consensus beats a single confident hit.,fde day08
What does RRF *not* fix?,"Retrieval quality. If a retriever reliably surfaces the wrong document, RRF still ranks it highly — it just stops it winning by scale accident. Grade or decompose instead.",fde day08
How do you decide parallel vs. sequential decomposition without hardcoding it?,"Have the planner emit `depends_on: list[int]` as a typed field. That gives you a DAG: topological sort, `asyncio.gather` per level, feed answers forward.",fde day08
"What's the tell that your relevance grader isn't working, and how do you fix it?","It says ""relevant"" ~95% of the time — it's agreeing, not grading. Fix the rubric with an explicit negative example and define relevance as *answers the question*, not *is about the topic*.",fde day08
"Name three things a state graph gives you over a loop, and one thing it does not.","Explicit typed state, checkpointing, resumability from the failed node, drawable conditional edges, human-in-the-loop interrupts (any three). It does **not** make retrieval decisions any better.",fde day08
"Mechanically, what is a worker agent? What does the supervisor actually see of its work?",A tool whose implementation is another Day 7 loop. The supervisor sees only the worker's final summary as an observation — never its steps.,fde day09
Name the three topologies and the condition each is right for.,Supervisor/worker: sub-tasks vary per question; the default. Sequential pipeline: stages known and ordered; cheapest and most testable. Peer handoff/swarm: routing genuinely can't be centralised; rare.,fde day09
Why is a swarm *not* more robust than hub-and-spoke? Answer in terms of what's actually running.,"It's all one process, one heap. There's no partition to survive, so distributed control buys no fault tolerance and costs legibility. Hub-and-spoke is easier *because* of the single point.",fde day09
"What specific class of information is lost at a handoff, and why is it lost systematically?","**Negative information** — what was tried and failed, what was ruled out, what error a tool returned. Lost systematically because summarisers are trained to report findings, and non-findings don't read like findings.",fde day09
How do you *measure* context loss? What should the number be?,"Fingerprint every tool call as `(tool, canonical_json(args))` and count fingerprints appearing under more than one agent in a run. It should be **zero**.",fde day09
"What is responsibility diffusion, and what's the fix in one sentence?","Every agent assumes someone else verified the fact; nobody did. Fix: exactly one named agent owns verification, named in every other system prompt, running last.",fde day09
"What's the mirror-image failure of a supervisor, and what does it tell you about your prompts?",A supervisor that does the work itself instead of delegating. It means your worker descriptions are bad — and worker descriptions are tool descriptions (Day 7 §2.7).,fde day09
Why isn't multi-agent cost linear in agent count? Write the shape.,"`Σ_agents [nᵢ·Bᵢ + oᵢ·nᵢ(nᵢ−1)/2]` plus the supervisor's own quadratic. A sum of quadratics, and duplicated steps land inside one.",fde day09
"Name one way worker isolation makes cost *better*, and one way it makes it worse.","Better: each worker has a small base `B` (narrow prompt, few tools) and the supervisor's observations are short summaries, not chunk sets. Worse: every duplicated step is re-sent by every later step in that agent's run.",fde day09
What is the blackboard's real failure mode — and what it is *not*?,"Not race conditions — you're in one process. **Distraction and prompt bloat**: every agent sees state it doesn't need, costing tokens and degrading tool selection.",fde day09
Why does `already_tried` work? Name the two invariant tests typed handoffs enable.,"It's a required schema slot for exactly the negative information prose drops, and a required field with a description is an instruction the model can't quietly skip. Tests: `already_tried` grows monotonically; no tool fingerprint appears under two agents.",fde day09
"Give the three real reasons to use more than one agent, and two reasons that aren't reasons.",Real: tool-list degradation; genuinely different prompts/models; permission boundaries and blast radius. Not reasons: the task has multiple steps; you want parallelism (use `asyncio.gather` inside one agent); it feels like a team; the demo looks better.,fde day09
"Where does conversational continuity physically live, and what does the model contribute?",In your application — the client re-sends the full messages array every request. The model is stateless and contributes nothing between calls.,fde day10
Name the four memory types with storage and lifetime for each.,"Working: messages array, one request. Episodic: message store + summaries, session. Semantic: key-value or vector index, indefinite. Procedural: prompt fragments / tool defs / skill files, indefinite and versioned.",fde day10
"What's the read-path difference between episodic and semantic memory, and why does it drive a different storage choice?","Episodic by recency, semantic by relevance. Relevance ranking is what makes a vector index right for semantic and unnecessary for episodic.",fde day10
"Why is procedural memory the highest-leverage type, and what makes it a system not a habit?","It changes behaviour on every request for a few hundred tokens, and it compounds — each observed failure becomes a permanent fix. It's a system when rules carry provenance, are versioned, and additions are gated on the golden set.",fde day10
"What does semantic memory look like after six months without dedupe-on-write, and what does the client report?","Full of near-duplicate restatements, so top-k returns one fact several times and effective recall falls. Reported as ""the AI got worse"" — gradual, correlating with no deploy.",fde day10
Why is 0.90 a starting point rather than a constant?,"It's a threshold on a similarity distribution, so it's model- and corpus-specific. Plot known duplicates against known distinct pairs and take the separation point.",fde day10
"Give the arithmetic for tool-schema cost across a run, and say why pruning descriptions is usually the wrong optimisation.","`(system + rules + schemas) × steps` — 6 × 200 × 8 = 9,600 tokens per question. Descriptions are the only evidence for a routing decision made every step, so cutting them buys an extra step and loses money. Cut whole tools instead.",fde day10
Name the four compaction strategies and state precisely what each loses.,"Truncation: everything older, silently. Summarisation: specifics (numbers, IDs, attribution) and negations. Extraction: nuance, hedging, the reasoning behind a decision. Hierarchical: complexity and two extra calls.",fde day10
"Explain mechanically why summarisation drops negations, and give the fix.","The summariser optimises topic coverage; a prohibition is a one-clause modifier on a topic it keeps anyway, and the negation carries no length, so nothing protects it. Fix: one sentence instructing it to preserve prohibitions verbatim, with reasons.",fde day10
Why read the `min` column of a needle heatmap rather than the mean?,"You don't control where the answer lands, so the worst position is your real reliability. The mean hides a bad middle — 90.4 over a 78 middle at 16k.",fde day10
"Give the three independent reasons ""just use a bigger window"" is wrong.",Quality (U-shaped attention over a longer middle); cost (context re-sent every agent step); latency (prefill scales with input length).,fde day10
Something the user said last week is missing from an answer. Name four distinct causes.,Never written; evicted by the allocator; compacted away; or present but mid-context and unattended. Only the last is about window size.,fde day10
"State the N×M argument in two sentences, with the LSP analogy.","Without a protocol, N AI apps integrating M systems is N×M bespoke integrations. With one, each system exposes a server and each app implements a client: N+M. Same argument as LSP, where editors × languages became one language server per language.",fde day11
What does the N+M number *not* include?,"The work inside each integration — auth, tenancy, error semantics, deployment — and the cost of any host needing a special case, which forfeits the saving.",fde day11
"Name the three roles, and state the client-to-server cardinality and why it's that way.","Host (owns model and context), client (connector inside the host), server (exposes capability). **One client per server**, for isolated lifecycles, independent capability negotiation, and clean namespacing.",fde day11
"What wire format does MCP use, and what are the two transports?","JSON-RPC 2.0, over stdio (local subprocess) or streamable HTTP (remote, multi-user, needs auth).",fde day11
"What happens during the handshake, and what does runtime discovery buy you?","`initialize` exchanges protocol versions and capabilities, then the client lists tools, resources and prompts. Discovery is at runtime, so a server can change what it offers without any host redeploying.",fde day11
Name the three primitives and who controls each.,Tools — the model decides. Resources — the application selects and injects. Prompts — the user invokes.,fde day11
Your agent needs to find a document mid-reasoning. Tool or resource? Why?,"**Tool.** Resources are application-controlled, so the model can't reach for one; a resource nobody attaches is never used.",fde day11
"Why does a `print()` break a stdio server, and why does running it by hand look fine?","stdout is the transport, so the text lands inside the JSON-RPC stream and the client's parse fails — tools silently don't appear. A terminal doesn't parse JSON, so by hand it looks fine.",fde day11
Why does a tool description matter more in MCP than in your own agent?,"You don't control the host's system prompt. The name, description and argument descriptions are the entire surface you control across every host that loads your server.",fde day11
What makes a skill more than a prompt template? Name the two mechanisms and the content test.,"Discovery by description, and progressive disclosure (body loads only when triggered, so it's a deferred context cost). The content test: it encodes **traps** learned from experience, not just procedure.",fde day11
Why must the tenant come from the session rather than a tool argument? Name the vulnerability.,"Because a model-supplied tenant is set from untrusted context — a confused-deputy vulnerability, unfixable by prompting. Derive it server-side from the token and scope every query.",fde day11
Name three things MCP does not solve.,"Authorization, orchestration, evaluation, semantic versioning of your tools, and the per-step context tax. Any three.",fde day11
Name the four problem classes that appear only at integration.,State that doesn't flow between components; cost that compounds; latency that stacks; failures that surface far from their cause.,fde day12
Why can't you infer system quality from component quality? Give the arithmetic.,"Component metrics are conditional on inputs the integrated system now produces, and stages multiply: 0.94 × 0.97 × 0.91 × 0.95 = 0.79.",fde day12
What three kinds of case must a system-level golden set contain that a component set can't?,Multi-turn references needing episodic memory; questions needing policy and data together; questions that must be refused after a retrieval attempt.,fde day12
"Which statistic drives the monthly bill, and which sets your budget limits? Why the difference?","The **mean** drives the bill (it includes the tail); **p95** sets limits and SLOs. The cost distribution is right-skewed because step count is decided at runtime, so p50 understates the mean.",fde day12
"Why does fan-out make p95 worse, and what's the formula?",The request is only as fast as its slowest branch: `1 − (1−p)ⁿ`. Three workers at 5% → 14.3%.,fde day12
"What's on the critical path in §2.4's trace, and what does parallelising buy?","Policy → data → analyst, 5.48 s of 6.8 s. Parallelising policy and data pays `max` instead of `sum`, saving ~1 s, and helps p95 more than p50.",fde day12
"Name six fields a trace must carry, and what each answers.","Any six of: request/span/parent ids (tree), node name (attribution), timestamps (latency and real parallelism), model id and version (silent provider changes), token counts and cost (attribution), exact prompt or hash (""why did it say that""), tool name/args/result size, retrieval scores and doc ids (retrieval vs generation miss), citation verification, `stop_reason`, error class.",fde day12
What's the one-sentence test for whether a trace is useful?,"Can you answer ""why did it say that?"" without re-running the request?",fde day12
State the three-part shape of a decision in an architecture review.,"Claim, the alternative you rejected, and what you gave up by choosing yours.",fde day12
What's the four-sentence shape for naming a weakness?,"Name it, quantify it, say what you'd do, say what that costs.",fde day12
"What makes a number ""sourced""?","It names the set, the number of cases, the model, and the date the run happened.",fde day12
Give three differences between the tutorial format and the architecture-review format.,Any three: goal (build vs decide); audience (practitioners vs senior); what earns trust (a measured fix vs naming weaknesses); core content (mechanism vs decisions); numbers (illustrative vs sourced); fatal error (no measured fix vs a diagram with no decision in it).,fde day12
Name the three limits of a hand-written golden set and the fix for each.,Scale → synthetic generation. Authorship bias → generate from the corpus. Distribution → persona rewriting.,fde day13
Why is the multi-hop similarity band bounded on *both* sides? What goes wrong at each end?,"Too similar: both chunks state the same fact, so it's an extractive case that inflates the synthesis score. Too dissimilar: no real bridge, the generator invents one, and the fabricated ground truth penalises a correct refusal.",fde day13
State the three adversarial kinds and the correct behaviour for each.,"False premise → **correct the premise, then answer**. Absent-fact → refuse. Near-miss → answer the right topic precisely without leaking the confusable one's numbers.",fde day13
Why must adversarial results be reported per-kind rather than aggregated?,Opposite pass conditions. A system that refuses everything scores 100% on absent-fact and 0% elsewhere; the aggregate rewards it.,fde day13
Name three mechanisms by which persona rewriting breaks a working pipeline.,Lexical terms vanish so BM25 contributes nothing; the query gets short and noisy so the dense neighbourhood widens; the router was tuned on clean phrasing; implicit referents leave nothing to retrieve without session memory. Any three.,fde day13
Why do you keep the source case ID on a persona-rewritten case?,"So the comparison is paired — same fact, only phrasing changed — which makes the drop attributable to phrasing rather than to a different sample.",fde day13
"What are the two possible causes of a judge/human disagreement, and how do you tell them apart?",Rubric ambiguity (a careful stranger could reach the judge's verdict from the rubric text) or your own inconsistency (check duplicates and near-identical cases). Fix the rubric in the first; relabel *and* write the implicit rule into the rubric in the second.,fde day13
Why iterate the rubric rather than the judge model? Give two reasons.,Any two: a bigger model buys agreement with an unspecified standard you can't explain; the cost is permanent and per-case; the failure recurs on the next corpus; the rubric is the auditable artifact you hand over.,fde day13
"What is intra-rater agreement, and what does it bound?","Your own label-to-label consistency, measured with duplicate items hidden in the blind set. It is the ceiling on the judge's κ against you.",fde day13
Describe the both-orders pairwise protocol. What does the disagreement rate measure?,"Run each comparison in both orders; agreement is the verdict, disagreement is a tie. The disagreement rate is your position-bias measurement; above ~15% the rubric isn't discriminating.",fde day13
You measure a 62% win rate over 48 comparisons. What can you claim?,"Very little. sd = √(0.25/48) = 0.072 → ±14 points at 95%, an interval that crosses 50%. You'd need ~270 decisive comparisons for a ±6-point claim.",fde day13
"What is a noise floor, how do you measure it, and what happens to a gate tighter than it?","The run-to-run spread with no changes; measure it over five identical runs and take σ per metric. A tighter gate fires on green PRs, gets disabled within two weeks, and then you have nothing.",fde day13
"Which two failure classes does BM25 fix outright, and which two does it not touch?",Fixes rare tokens/acronyms and exact identifiers. Doesn't touch negation or numeric constraints — those need query rewriting or metadata/structured filtering.,fde day14
"What's the correct tool for ""which carriers scored below 70,"" and why isn't it retrieval?","A metadata filter or structured query. Retrieval indexes direction in embedding space or term overlap; neither can evaluate ""less than 70.""",fde day14
"Explain term-frequency saturation. What's the ceiling, and where does the curve flatten?","`tf(k₁+1)/(tf+K)` rises steeply then flattens. Ceiling `k₁+1 ≈ 2.2`; it's ~90% of the way there by the tenth occurrence, and the 11th adds about 6% of what the 2nd added.",fde day14
"What does IDF do, and why does it make BM25 strong on rare acronyms?","Weights a term by rarity across the corpus, so discriminating terms dominate. A rare acronym has very high IDF — and it's precisely the token an embedding model represents worst.",fde day14
